dataset,method,n_genes,classifier,accuracy_mean,accuracy_std,time_selection
ascendens_baseline,ALL_GENES,101,kNN-1,0.5209523809523808,0.06930821104251522,0.0
ascendens_baseline,ALL_GENES,101,kNN-3,0.5495238095238095,0.08601007165619533,0.0
ascendens_baseline,ALL_GENES,101,NaiveBayes,0.520952380952381,0.08430588943364088,0.0
ascendens_baseline,ALL_GENES,101,DTree,0.5333333333333333,0.055777335102271695,0.0
ascendens_baseline,ALL_GENES,101,RF,0.5457142857142856,0.10131113254835962,0.0
ascendens_baseline,ALL_GENES,101,SVM,0.5209523809523808,0.06930821104251522,0.0
ascendens_baseline,FE2,1,kNN-1,0.35523809523809524,0.09474156278434963,0.0
ascendens_baseline,FE2,1,kNN-3,0.4514285714285714,0.04610940356918173,0.0
ascendens_baseline,FE2,1,NaiveBayes,0.44000000000000006,0.18224102552175225,0.0
ascendens_baseline,FE2,1,DTree,0.35523809523809524,0.09474156278434963,0.0
ascendens_baseline,FE2,1,RF,0.35523809523809524,0.09474156278434963,0.0
ascendens_baseline,FE2,1,SVM,0.41047619047619044,0.08467089817482999,0.0
ascendens_baseline,FE2,2,kNN-1,0.43619047619047624,0.09118021824686802,0.0
ascendens_baseline,FE2,2,kNN-3,0.41238095238095235,0.08033941603414531,0.0
ascendens_baseline,FE2,2,NaiveBayes,0.46761904761904755,0.1421059615511961,0.0
ascendens_baseline,FE2,2,DTree,0.42285714285714276,0.1317731851918322,0.0
ascendens_baseline,FE2,2,RF,0.39619047619047615,0.10747145378510894,0.0
ascendens_baseline,FE2,2,SVM,0.3571428571428571,0.08497031627883986,0.0
ascendens_baseline,FE2,3,kNN-1,0.4247619047619048,0.06648956066936024,0.0
ascendens_baseline,FE2,3,kNN-3,0.44000000000000006,0.0879393730551528,0.0
ascendens_baseline,FE2,3,NaiveBayes,0.41047619047619044,0.16606421728668266,0.0
ascendens_baseline,FE2,3,DTree,0.5228571428571429,0.1830058918794284,0.0
ascendens_baseline,FE2,3,RF,0.35333333333333333,0.110918654183167,0.0
ascendens_baseline,FE2,3,SVM,0.33142857142857146,0.11689870025987877,0.0
ascendens_baseline,FE2,5,kNN-1,0.44000000000000006,0.1669684342918943,0.0
ascendens_baseline,FE2,5,kNN-3,0.5057142857142857,0.05858497713992265,0.0
ascendens_baseline,FE2,5,NaiveBayes,0.47904761904761906,0.1554337067312255,0.0
ascendens_baseline,FE2,5,DTree,0.480952380952381,0.05569596768462263,0.0
ascendens_baseline,FE2,5,RF,0.4933333333333333,0.05160463689197738,0.0
ascendens_baseline,FE2,5,SVM,0.4790476190476191,0.08430588943364084,0.0
ascendens_baseline,FE2,7,kNN-1,0.5076190476190476,0.14486212069966892,0.0
