dataset,method,n_genes,classifier,accuracy_mean,accuracy_std,time_selection
rectum_baseline,ALL_GENES,101,kNN-1,0.4758241758241758,0.1437671775070443,0.0
rectum_baseline,ALL_GENES,101,kNN-3,0.49120879120879124,0.14552039874502726,0.0
rectum_baseline,ALL_GENES,101,NaiveBayes,0.4175824175824176,0.08742999683919157,0.0
rectum_baseline,ALL_GENES,101,DTree,0.4945054945054944,0.11120097266526169,0.0
rectum_baseline,ALL_GENES,101,RF,0.4956043956043956,0.11432797190013146,0.0
rectum_baseline,ALL_GENES,101,SVM,0.6274725274725276,0.03968235183575338,0.0
rectum_baseline,FE2,1,kNN-1,0.48901098901098905,0.18512488563726998,0.0
rectum_baseline,FE2,1,kNN-3,0.43186813186813183,0.10708507881388862,0.0
rectum_baseline,FE2,1,NaiveBayes,0.5516483516483516,0.016150481820548422,0.0
rectum_baseline,FE2,1,DTree,0.48901098901098905,0.18512488563726998,0.0
rectum_baseline,FE2,1,RF,0.48901098901098905,0.18512488563726998,0.0
rectum_baseline,FE2,1,SVM,0.5087912087912088,0.07689167333861933,0.0
rectum_baseline,FE2,2,kNN-1,0.4780219780219781,0.10436668193919794,0.0
rectum_baseline,FE2,2,kNN-3,0.43076923076923074,0.11715543300947354,0.0
rectum_baseline,FE2,2,NaiveBayes,0.5076923076923077,0.12125814702535141,0.0
rectum_baseline,FE2,2,DTree,0.4461538461538462,0.11040538534159479,0.0
rectum_baseline,FE2,2,RF,0.4626373626373626,0.09989730265814077,0.0
rectum_baseline,FE2,2,SVM,0.4186813186813187,0.13288981501389865,0.0
rectum_baseline,FE2,3,kNN-1,0.46263736263736266,0.14091666023657534,0.0
rectum_baseline,FE2,3,kNN-3,0.4329670329670329,0.08704240153104549,0.0
rectum_baseline,FE2,3,NaiveBayes,0.5065934065934066,0.15773729112965376,0.0
rectum_baseline,FE2,3,DTree,0.4813186813186813,0.1335786496617384,0.0
rectum_baseline,FE2,3,RF,0.44945054945054946,0.13433588386757034,0.0
rectum_baseline,FE2,3,SVM,0.4604395604395604,0.16761033815329776,0.0
rectum_baseline,FE2,5,kNN-1,0.5978021978021977,0.12540960543021634,0.0
rectum_baseline,FE2,5,kNN-3,0.6241758241758243,0.1342999219116676,0.0
rectum_baseline,FE2,5,NaiveBayes,0.5065934065934066,0.06504900477779665,0.0
rectum_baseline,FE2,5,DTree,0.5978021978021978,0.10941656209137696,0.0
rectum_baseline,FE2,5,RF,0.5208791208791208,0.08306703819324948,0.0
rectum_baseline,FE2,5,SVM,0.5065934065934067,0.08122953236297287,0.0
rectum_baseline,FE2,7,kNN-1,0.49340659340659343,0.15773729112965376,0.0
rectum_baseline,FE2,7,kNN-3,0.5648351648351648,0.16069526514664537,0.0
rectum_baseline,FE2,7,NaiveBayes,0.49010989010989003,0.08697300631828296,0.0
rectum_baseline,FE2,7,DTree,0.5098901098901099,0.09965524438465613,0.0
rectum_baseline,FE2,7,RF,0.5241758241758242,0.11182904820403121,0.0
rectum_baseline,FE2,7,SVM,0.49230769230769234,0.08719487659286757,0.0
rectum_baseline,FE2,10,kNN-1,0.47582417582417574,0.16342251819798947,0.0
rectum_baseline,FE2,10,kNN-3,0.5527472527472528,0.12527472527472527,0.0
rectum_baseline,FE2,10,NaiveBayes,0.49010989010989003,0.0996552443846561,0.0
rectum_baseline,FE2,10,DTree,0.5406593406593407,0.13357864966173844,0.0
rectum_baseline,FE2,10,RF,0.5681318681318681,0.10708507881388865,0.0
rectum_baseline,FE2,10,SVM,0.5978021978021977,0.09800571490770683,0.0
rectum_baseline,FE2,15,kNN-1,0.4758241758241758,0.13129913873620966,0.0
rectum_baseline,FE2,15,kNN-3,0.4450549450549451,0.10035560489521649,0.0
rectum_baseline,FE2,15,NaiveBayes,0.4615384615384615,0.11525371957913752,0.0
rectum_baseline,FE2,15,DTree,0.5373626373626373,0.09989730265814076,0.0
rectum_baseline,FE2,15,RF,0.4923076923076922,0.07236078080507397,0.0
rectum_baseline,FE2,15,SVM,0.6725274725274726,0.07067224259698256,0.0
rectum_baseline,FE2,20,kNN-1,0.4769230769230769,0.12497554403921433,0.0
rectum_baseline,FE2,20,kNN-3,0.4758241758241758,0.07782826905330008,0.0
rectum_baseline,FE2,20,NaiveBayes,0.49120879120879113,0.06478858449663151,0.0
rectum_baseline,FE2,20,DTree,0.5076923076923078,0.0565266863719195,0.0
rectum_baseline,FE2,20,RF,0.5538461538461539,0.1300887271175982,0.0
rectum_baseline,FE2,20,SVM,0.6582417582417583,0.06795439487358378,0.0
rectum_baseline,FE2,25,kNN-1,0.5065934065934066,0.13334339615048363,0.0
rectum_baseline,FE2,25,kNN-3,0.478021978021978,0.11691811936941,0.0
rectum_baseline,FE2,25,NaiveBayes,0.49120879120879124,0.0945054945054945,0.0
rectum_baseline,FE2,25,DTree,0.5351648351648353,0.09740008706004545,0.0
rectum_baseline,FE2,25,RF,0.5087912087912088,0.10629276737884612,0.0
rectum_baseline,FE2,25,SVM,0.6285714285714286,0.07302526472895014,0.0
rectum_baseline,FE2,30,kNN-1,0.5043956043956045,0.1479400068355729,0.0
rectum_baseline,FE2,30,kNN-3,0.46373626373626375,0.09887667586111641,0.0
rectum_baseline,FE2,30,NaiveBayes,0.49120879120879124,0.0945054945054945,0.0
rectum_baseline,FE2,30,DTree,0.5813186813186814,0.064114075366219,0.0
rectum_baseline,FE2,30,RF,0.5230769230769231,0.09910845174403941,0.0
rectum_baseline,FE2,30,SVM,0.6131868131868132,0.04417527745547645,0.0
rectum_baseline,FE3,1,kNN-1,0.48901098901098905,0.18512488563726998,0.0
rectum_baseline,FE3,1,kNN-3,0.43186813186813183,0.10708507881388862,0.0
rectum_baseline,FE3,1,NaiveBayes,0.5516483516483516,0.016150481820548422,0.0
rectum_baseline,FE3,1,DTree,0.48901098901098905,0.18512488563726998,0.0
rectum_baseline,FE3,1,RF,0.48901098901098905,0.18512488563726998,0.0
rectum_baseline,FE3,1,SVM,0.5087912087912088,0.07689167333861933,0.0
rectum_baseline,FE3,2,kNN-1,0.5076923076923078,0.07236078080507398,0.0
rectum_baseline,FE3,2,kNN-3,0.5241758241758242,0.11470758989626276,0.0
rectum_baseline,FE3,2,NaiveBayes,0.5230769230769231,0.052171769100963605,0.0
rectum_baseline,FE3,2,DTree,0.5835164835164836,0.11495997213733646,0.0
rectum_baseline,FE3,2,RF,0.5516483516483517,0.051261115559079556,0.0
rectum_baseline,FE3,2,SVM,0.5505494505494506,0.09037751734044874,0.0
rectum_baseline,FE3,3,kNN-1,0.44945054945054946,0.05860347967460827,0.0
rectum_baseline,FE3,3,kNN-3,0.5054945054945055,0.1466528702896988,0.0
rectum_baseline,FE3,3,NaiveBayes,0.5406593406593406,0.13235258995070184,0.0
rectum_baseline,FE3,3,DTree,0.612087912087912,0.08733325928046388,0.0
rectum_baseline,FE3,3,RF,0.49230769230769234,0.05356508838221511,0.0
rectum_baseline,FE3,3,SVM,0.5241758241758242,0.07782826905330012,0.0
rectum_baseline,FE3,5,kNN-1,0.44945054945054946,0.0866948699925979,0.0
rectum_baseline,FE3,5,kNN-3,0.32857142857142857,0.10392606960471992,0.0
rectum_baseline,FE3,5,NaiveBayes,0.5241758241758242,0.11182904820403121,0.0
rectum_baseline,FE3,5,DTree,0.46153846153846156,0.042132504423474305,0.0
rectum_baseline,FE3,5,RF,0.4648351648351648,0.1474166711009583,0.0
rectum_baseline,FE3,5,SVM,0.46263736263736266,0.022627758551619786,0.0
rectum_baseline,FE3,7,kNN-1,0.43406593406593413,0.0633180672126942,0.0
rectum_baseline,FE3,7,kNN-3,0.5043956043956045,0.1334339273552575,0.0
rectum_baseline,FE3,7,NaiveBayes,0.5395604395604396,0.11786450705751139,0.0
rectum_baseline,FE3,7,DTree,0.5065934065934066,0.06504900477779665,0.0
rectum_baseline,FE3,7,RF,0.5373626373626373,0.08342968305979037,0.0
rectum_baseline,FE3,7,SVM,0.4802197802197802,0.07482217376065582,0.0
rectum_baseline,FE3,10,kNN-1,0.5362637362637364,0.0775951799732296,0.0
rectum_baseline,FE3,10,kNN-3,0.49340659340659343,0.04317996198766703,0.0
rectum_baseline,FE3,10,NaiveBayes,0.5384615384615385,0.11092915369929573,0.0
rectum_baseline,FE3,10,DTree,0.5076923076923077,0.02878197989826107,0.0
rectum_baseline,FE3,10,RF,0.5241758241758242,0.0881589939346443,0.0
rectum_baseline,FE3,10,SVM,0.5406593406593407,0.10364682305539866,0.0
rectum_baseline,FE3,15,kNN-1,0.5505494505494506,0.11067849065506964,0.0
rectum_baseline,FE3,15,kNN-3,0.521978021978022,0.03774849238970914,0.0
rectum_baseline,FE3,15,NaiveBayes,0.5978021978021978,0.16103307351850302,0.0
rectum_baseline,FE3,15,DTree,0.6428571428571429,0.08296521357440387,0.0
rectum_baseline,FE3,15,RF,0.5252747252747254,0.11746425201373907,0.0
